"from_node","to_node","lcp_length_m","lcp_cost"
1049,1096,1061.54328932551,31577.7570838928
1002,1056,1069.70562748477,29345.5865516663
1096,1102,787.279220613579,16001.0191688538
1153,1232,1360.66017177982,54393.0860023499
1163,1190,833.9696961967,20407.8914070129
1049,1182,2256.76190233248,149695.359500885
1190,1267,798.822509939086,18991.4185523987
1228,1554,4109.4826817189,451729.599521637
1232,1261,736.690475583121,15757.5968971252
1254,1267,464.558441227157,6265.42505264282
1272,2682,8431.46319705836,1989642.4051857
1277,1768,2353.67532368147,144998.864658356
1102,1308,2768.52813742385,199540.05398941
1310,1500,1769.11688245431,81493.4870948792
1261,1335,1023.38095116624,31132.3439369202
1254,1396,1014.85281374239,26152.8022956848
1444,1500,1501.24891681028,62006.3932228088
1396,1500,1117.27922061358,31817.5742530823
1335,1513,1599.41125496954,65746.8284339905
1627,1693,593.9696961967,10799.365272522
1733,1741,1482.42640687119,55381.4338645935
1773,1916,1356.39610306789,50501.8544654846
1782,1999,2754.33549546129,217317.850986481
1773,1783,1444.26406871193,54532.0495948792
1858,2346,1381.24891681028,53214.9293556213
1859,2001,2334.33549546129,159330.726718903
1867,1947,1316.10173055266,49480.1969337463
1874,1996,1592.49783362056,75134.2364387512
1906,2195,4594.99566724111,598623.965244293
1916,2025,1250.95454429505,45598.1187171936
2001,2128,1367.9393923934,55408.1944007874
2058,2564,5493.74675043083,799584.29214859
1782,2115,3017.4220741123,269077.68176651
2131,2184,5714.40692221065,910284.013584137
2195,2231,612.426406871193,9606.0267906189
2284,2511,3712.56926036991,401137.180088043
2318,2512,2226.39610306789,128711.956882477
2324,2469,1905.80735803743,100546.669345856
2435,2469,876.396103067893,22553.0999946594
2454,2617,1605.80735803743,73378.4424781799
2470,2494,519.411254969543,7943.2045173645
2483,2602,1894.62986797652,106021.292438507
2511,2645,2360.07142674936,157293.308628082
2454,2512,1682.49783362056,83600.7577705383
2523,2544,683.9696961967,13965.1113471985
2543,2602,1455.80735803743,61177.0678138733
2564,2778,3248.01081914276,308433.058200836
2577,2678,1446.39610306789,56834.2962989807
2523,2579,798.822509939086,18991.4185523987
2617,2733,1219.70562748477,37978.3195533752
2631,3007,2480.07142674936,172333.012973785
2653,2730,1286.10173055266,47411.2868690491
2677,2787,1855.21861300698,99771.7550392151
2678,2682,891.837661840736,21754.5074501038
2324,2706,3211.98051533946,305053.025997162
2726,3477,2590.66017177982,179404.679843903
2730,2788,1193.08657865101,42261.5445289612
2733,2831,1151.54328932551,36638.4241676331
2730,2769,1289.11688245431,44635.6247901917
2778,2818,1630.66017177982,76349.3840675354
2678,2802,2155.21861300698,131817.867160797
2806,2818,914.558441227157,21973.012424469
2818,2861,540,7672.38238525391
2806,2872,1166.98484809835,35429.9902381897
2888,3007,1847.9393923934,97768.7826881409
2890,3315,2084.04112294606,128529.698673248
