"species","period","from_id","to_id","area_i_ha","area_j_ha","length_km","cost_mean","cost_max"
"GEN","Early",4335,4477,7.65606048561021,158.705503678145,1.80036579926459,130.389729003906,355.794281005859
"GEN","Early",4357,4542,18.0134662812756,5.22390570490474,0.792426406871193,160.164267349243,269.79443359375
"GEN","Early",4359,4462,7.65604641505033,8.01633156899942,0.517279220613579,117.358915100098,206.061614990234
"GEN","Early",4050,4409,94.4752696355251,19.7235409449868,2.49676190233248,296.029526138306,782.210876464844
"GEN","Early",4419,4662,61.9693343280815,11.2589646047649,1.15455844122716,81.3143036270142,150.738708496094
"GEN","Early",4453,4530,8.10473193445115,5.04294252038992,0.457279220613579,67.7446307373047,97.5966339111328
"GEN","Early",4477,4568,158.705503678145,5.94469751481861,0.729411254969543,82.423678894043,148.294311523438
"GEN","Early",4261,4483,6.39480416177925,33.5953470258929,2.07161471607487,372.720647659302,848.934387207031
"GEN","Early",4487,4656,5.13323069741611,7.56475626525296,1.11213203435596,180.196799697876,412.332214355469
"GEN","Early",4499,4669,5.94459363389087,6.84529432555811,1.2239696961967,173.314775695801,312.198608398438
"GEN","Early",4508,4530,114.636936753925,5.04294252038992,0.817279220613579,127.301148757935,212.399887084961
"GEN","Early",4312,4519,13.5086715162011,11.5274533292968,1.65977705423413,237.022075271606,586.698181152344
"GEN","Early",4527,4530,11.0765183205264,5.04294252038992,1.09242640687119,116.009319381714,264.270751953125
"GEN","Early",4529,4538,5.67328757204376,6.93399383850985,0.774852813742386,211.223427429199,314.920257568359
"GEN","Early",4462,4534,8.01633156899942,7.02554766870596,0.59698484809835,168.894399719238,293.670135498047
"GEN","Early",4519,4539,11.5274533292968,503.783794432829,2.24007142674936,83.748190498352,276.125640869141
"GEN","Early",4534,4568,7.02554766870596,5.94469751481861,0.706690475583121,198.027412948608,352.3251953125
"GEN","Early",4534,4577,7.02554766870596,149.878159314059,1.61007142674936,124.986500167847,372.710723876953
"GEN","Early",4542,4579,5.22390570490474,7.83587255748116,0.934264068711929,147.393958969116,330.000732421875
"GEN","Early",4539,4593,503.783794432829,2338.91747445485,3.57712770159707,85.551492767334,273.469421386719
"GEN","Early",4655,4696,14.2288165660872,28.6378254910219,0.839116882454314,65.8201159667969,144.031677246094
"GEN","Early",4656,4704,7.56475626525296,13.418436704507,0.54,48.8523338699341,94.5123596191406
"GEN","Early",4659,4744,17.3835867487083,26.6608414948944,0.727279220613579,68.3850514984131,146.8662109375
"GEN","Early",4673,4771,10.1777891044394,52.1499140499388,1.06242640687119,134.72287109375,326.997253417969
"GEN","Early",4676,4704,16.210233054273,13.418436704507,0.642426406871193,112.6226927948,232.341690063477
"GEN","Early",4542,4687,5.22390570490474,12.1590858133068,1.18455844122716,209.242592468262,447.368835449219
"GEN","Early",4696,4770,28.6378254910219,16.2100912507544,0.57,125.191056060791,198.742630004883
"GEN","Early",4698,4868,5.58438609325843,14.0510608660666,1.95977705423413,458.751451339722,915.701232910156
"GEN","Early",4673,4715,10.1777891044394,17.6534771125796,1.16911688245431,161.788145904541,383.137359619141
"GEN","Early",4716,4857,18.3711232753618,6.6640283902459,0.939411254969543,242.836160888672,436.343200683594
"GEN","Early",4715,4730,17.6534771125796,5.04383035992857,2.04,244.988761177063,444.109832763672
